visit1	Best Match	Group	Score
dynamic.FACE.face_lmdist.v3_visit1.PSR_PIR	dynamic.FACE.face_lmdist.v3_visit2.PSR_PIR	face_lmdist.v3	100
dynamic.FACE.face_lmdist.v2_visit1.PSR_PIR	dynamic.FACE.face_lmdist.v2_visit2.PSR_PIR	face_lmdist.v2	100
dynamic.FACE.voice.v1_visit1.complete.coeff82	dynamic.FACE.voice.v1_visit2.complete.coeff82	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff89	dynamic.FACE.voice.v1_visit2.complete.coeff89	voice.v1	100
dynamic.FACE.face_lmdist.v2_visit1.PSL_PIL	dynamic.FACE.face_lmdist.v2_visit2.PSL_PIL	face_lmdist.v2	100
dynamic.FACE.voice.v1_visit1.complete.coeff55	dynamic.FACE.voice.v1_visit2.complete.coeff55	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff08	dynamic.FACE.voice.v1_visit2.complete.coeff08	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff09	dynamic.FACE.voice.v1_visit2.complete.coeff09	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff02	dynamic.FACE.voice.v1_visit2.complete.coeff02	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff04	dynamic.FACE.voice.v1_visit2.complete.coeff04	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff05	dynamic.FACE.voice.v1_visit2.complete.coeff05	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff06	dynamic.FACE.voice.v1_visit2.complete.coeff06	voice.v1	100
dynamic.FACE.face_lmdist.v1_visit1.TR_G	dynamic.FACE.face_lmdist.v1_visit2.TR_G	face_lmdist.v1	100
dynamic.FACE.face_lmdist.v2_visit1.TGL_TGRpa	dynamic.FACE.face_lmdist.v2_visit2.TGL_TGRpa	face_lmdist.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff98	dynamic.FACE.voice.v2_visit2.complete.coeff98	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff99	dynamic.FACE.voice.v2_visit2.complete.coeff99	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff94	dynamic.FACE.voice.v2_visit2.complete.coeff94	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff95	dynamic.FACE.voice.v2_visit2.complete.coeff95	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff96	dynamic.FACE.voice.v2_visit2.complete.coeff96	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff97	dynamic.FACE.voice.v2_visit2.complete.coeff97	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff90	dynamic.FACE.voice.v2_visit2.complete.coeff90	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff92	dynamic.FACE.voice.v2_visit2.complete.coeff92	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff93	dynamic.FACE.voice.v2_visit2.complete.coeff93	voice.v2	100
dynamic.FACE.face_lmdist.v1_visit1.PSR_PIR	dynamic.FACE.face_lmdist.v1_visit2.PSR_PIR	face_lmdist.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff14	dynamic.FACE.voice.v1_visit2.complete.coeff14	voice.v1	100
dynamic.FACE.face_lmdist.v3_visit1.TGL_TGR	dynamic.FACE.face_lmdist.v3_visit2.TGL_TGR	face_lmdist.v3	100
dynamic.FACE.face_lmdist.v3_visit1.TGL_TGRpa	dynamic.FACE.face_lmdist.v3_visit2.TGL_TGRpa	face_lmdist.v3	100
dynamic.FACE.voice.v2_visit1.complete.coeff34	dynamic.FACE.voice.v2_visit2.complete.coeff34	voice.v2	100
dynamic.FACE.face.v3_visit1.DepthPC	dynamic.FACE.face.v3_visit2.DepthPC	face.v3	100
dynamic.FACE.face_lmdist.v1_visit1.EXR_EXL	dynamic.FACE.face_lmdist.v1_visit2.EXR_EXL	face_lmdist.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff33	dynamic.FACE.voice.v2_visit2.complete.coeff33	voice.v2	100
dynamic.FACE.voice.v1_visit1.complete.coeff20	dynamic.FACE.voice.v1_visit2.complete.coeff20	voice.v1	100
dynamic.FACE.face_lmdist.v2_visit1.EXR_EXL	dynamic.FACE.face_lmdist.v2_visit2.EXR_EXL	face_lmdist.v2	100
dynamic.FACE.face_lmdist.v1_visit1.TR_GNpa	dynamic.FACE.face_lmdist.v1_visit2.TR_GNpa	face_lmdist.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff80	dynamic.FACE.voice.v1_visit2.complete.coeff80	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff81	dynamic.FACE.voice.v1_visit2.complete.coeff81	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff83	dynamic.FACE.voice.v1_visit2.complete.coeff83	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff84	dynamic.FACE.voice.v1_visit2.complete.coeff84	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff85	dynamic.FACE.voice.v1_visit2.complete.coeff85	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff86	dynamic.FACE.voice.v1_visit2.complete.coeff86	voice.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff88	dynamic.FACE.voice.v1_visit2.complete.coeff88	voice.v1	100
dynamic.FACE.face_lmdist.v3_visit1.EXR_ENR	dynamic.FACE.face_lmdist.v3_visit2.EXR_ENR	face_lmdist.v3	100
dynamic.FACE.voice.v1_visit1.complete.coeff03	dynamic.FACE.voice.v1_visit2.complete.coeff03	voice.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff25	dynamic.FACE.voice.v2_visit2.complete.coeff25	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff26	dynamic.FACE.voice.v2_visit2.complete.coeff26	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff21	dynamic.FACE.voice.v2_visit2.complete.coeff21	voice.v2	100
dynamic.FACE.face.v1_visit1.ColorPC	dynamic.FACE.face.v1_visit2.ColorPC	face.v1	100
dynamic.FACE.face_lmdist.v3_visit1.ALL_ALR	dynamic.FACE.face_lmdist.v3_visit2.ALL_ALR	face_lmdist.v3	100
dynamic.FACE.face_lmdist.v3_visit1.ENR_ENL	dynamic.FACE.face_lmdist.v3_visit2.ENR_ENL	face_lmdist.v3	100
dynamic.FACE.face_lmdist.v2_visit1.LI_ST	dynamic.FACE.face_lmdist.v2_visit2.LI_ST	face_lmdist.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff73	dynamic.FACE.voice.v2_visit2.complete.coeff73	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff59	dynamic.FACE.voice.v2_visit2.complete.coeff59	voice.v2	100
dynamic.FACE.face_lmdist.v2_visit1.EBR_EBL	dynamic.FACE.face_lmdist.v2_visit2.EBR_EBL	face_lmdist.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff87	dynamic.FACE.voice.v2_visit2.complete.coeff87	voice.v2	100
dynamic.FACE.face_lmdist.v3_visit1.LI_ST	dynamic.FACE.face_lmdist.v3_visit2.LI_ST	face_lmdist.v3	100
dynamic.FACE.voice.v2_visit1.complete.coeff16	dynamic.FACE.voice.v2_visit2.complete.coeff16	voice.v2	100
dynamic.FACE.eyecolor.v1_visit1.l	dynamic.FACE.eyecolor.v1_visit2.l	eyecolor.v1	100
dynamic.FACE.voice.v1_visit1.complete.coeff40	dynamic.FACE.voice.v1_visit2.complete.coeff40	voice.v1	100
dynamic.FACE.voice.v2_visit1.complete.coeff39	dynamic.FACE.voice.v2_visit2.complete.coeff39	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff37	dynamic.FACE.voice.v2_visit2.complete.coeff37	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff30	dynamic.FACE.voice.v2_visit2.complete.coeff30	voice.v2	100
dynamic.FACE.voice.v2_visit1.complete.coeff31	dynamic.FACE.voice.v2_visit2.complete.coeff31	voice.v2	100
dynamic.FACE.face_lmdist.v3_visit1.PRN_IRR	dynamic.FACE.face_lmdist.v3_visit2.PRN_IRR	face_lmdist.v3	100
dynamic.FACE.voice.v2_visit1.complete.coeff17	dynamic.FACE.voice.v2_visit2.complete.coeff17	voice.v2	100
