ds.index.sample_key,pheno.age,pheno.gender
262940_187524389,47.0,1.0
262929_187524388,59.0,1.0
262885_187524387,60.0,1.0
262896_187524385,60.0,1.0
262918_187524386,49.0,1.0
167089_176499312,84.97,1.0
77678_176447631,74.21,-1.0
77667_176447630,51.85,-1.0
74862_176444906,74.8,1.0
257959_176444032,71.0,-1.0
74466_176444971,59.4,1.0
120546_187498736,44.84,1.0
123064_187545238,61.33,-1.0
75522_176447281,64.1,1.0
173931_176445814,23.8,-1.0
131665_187523870,59.09,1.0
165175_176446554,48.4,-1.0
167628_176499301,62.0,1.0
76303_176447622,66.54,-1.0
77645_176447628,54.8,-1.0
75995_176447686,61.82,1.0
77722_176444869,81.31,-1.0
76556_175116574,62.6,-1.0
76061_176447641,52.99,-1.0
73278_187524174,30.9,1.0
77634_176444878,73.67,1.0
76072_176447642,60.31,1.0
97192_187523235,24.01,1.0
101064_187523043,39.84,-1.0
90482_187522891,41.05,1.0
89899_187522932,33.6,1.0
97346_187523292,32.0,1.0
96631_187523307,21.74,1.0
90273_187522848,38.93,-1.0
91428_187526337,72.36,-1.0
90559_187526379,63.66,-1.0
96499_187523061,36.85,1.0
89800_187522899,52.48,-1.0
90086_187522854,46.9,-1.0
97555_187523317,23.7,1.0
94640_176447697,78.31,-1.0
93386_176501149,82.4,-1.0
89734_187522911,27.79,-1.0
90141_187522872,39.72,1.0
96378_187523122,37.42,-1.0
92077_187524747,52.52,1.0
89701_187522908,43.97,-1.0
87633_176444446,68.31,1.0
95916_187523089,54.87,-1.0
88227_176444395,44.15,1.0
89635_187522914,33.12,1.0
90119_187522857,29.2,-1.0
187813_176531295,63.17,-1.0
187571_176531075,75.33,-1.0
178400_176447067,62.17,-1.0
175848_176448494,66.0,-1.0
176816_176531257,67.42,-1.0
62883_176447097,51.25,-1.0
174957_176448861,76.42,-1.0
178796_176531612,56.83,-1.0
175936_176531044,60.0,-1.0
57405_176448338,51.0,-1.0
53764_176447956,72.33,-1.0
177740_176531336,51.42,-1.0
175507_176448514,65.25,-1.0
177949_176531342,54.75,-1.0
62124_176531473,60.25,-1.0
178697_176447114,52.75,-1.0
180314_176531511,57.08,-1.0
177520_176531372,50.58,-1.0
176794_176531303,54.75,-1.0
180281_176531508,47.5,-1.0
187846_176531328,63.42,-1.0
53511_176447996,63.17,1.0
176079_176531059,58.17,-1.0
175760_176448498,44.67,-1.0
175694_176448485,61.25,-1.0
62619_176531488,61.92,-1.0
49639_176447395,65.17,-1.0
187604_176531318,51.67,-1.0
177080_176531284,50.75,-1.0
61244_176531491,46.0,-1.0
174946_176448860,79.33,-1.0
48616_176531504,53.58,-1.0
53918_176447965,55.58,-1.0
180226_176531474,60.25,-1.0
49485_176447414,73.08,-1.0
53742_176447954,48.5,-1.0
58769_176448300,70.25,-1.0
53698_176447986,62.92,-1.0
58791_176448302,61.92,-1.0
51938_176446803,79.33,-1.0
58032_176448371,70.67,-1.0
179489_176531597,64.0,-1.0
187703_176531255,67.0,-1.0
178752_176447122,77.33,-1.0
178158_176447079,61.92,-1.0
50200_176448622,74.42,-1.0
177146_176531290,59.0,-1.0
51927_176446802,51.0,-1.0
178389_176447066,51.75,-1.0
178675_176447063,48.33,-1.0
49331_176447377,68.67,-1.0
50090_176446930,63.67,-1.0
53313_176447975,73.75,-1.0
177025_176531313,60.17,-1.0
53929_176447988,69.25,-1.0
58296_176448363,50.42,-1.0
49320_176447376,68.67,-1.0
178411_176447068,62.17,-1.0
58274_176448361,54.25,-1.0
178477_176447075,48.33,-1.0
178147_176447077,55.75,-1.0
178829_176531604,49.17,-1.0
178422_176447069,69.67,-1.0
57999_176448367,52.42,-1.0
178433_176447071,65.25,-1.0
180072_176531470,52.67,-1.0
178521_176447109,57.42,-1.0
58186_176448357,74.17,-1.0
51949_176446804,79.33,-1.0
177575_176531367,51.33,-1.0
58329_176448372,63.5,-1.0
58087_176448382,58.83,-1.0
175628_176448568,72.92,-1.0
