qc.sample_name	Gender	facepheno.Age	Xc	Yc
176444163_S1	Female	47	2.002048373	0.003466478
176444164_S1	Male	45	1.014278017	1.009698276
176444172_S1	Female	22	2.009177763	0.004212744
176444173_S1	Male	20	1.00954766	1.011895445
176444174_S1	Male	36	1.008750754	1.003470127
176444175_S1	Female	46	2.008560073	0.003668603
176444176_S1	Female	61	2.003645062	0.004100695
176444177_S1	Male	48	1.008501459	0.987438142
176444178_S1	Female	65	1.985169492	0.003466872
176444179_S1	Female	65	1.980972079	0.004136505
176444181_S1	Female	21	2.015234871	0.004231909
176444182_S1	Male	25	1.002987453	1.007966541
176444183_S1	Female	46	2.015878659	0.004502903
176444184_S1	Male	29	1.004599982	1.00929016
176444185_S1	Female	57	1.983313229	0.004020909
176444187_S1	Female	51	1.813682358	0.003519578
176444188_S1	Female	36	1.996951839	0.004064215
176444189_S1	Male	56	1.0078125	0.998856707
176444190_S1	Male	19	1.007604563	1.013036393
176444192_S1	Male	52	1.002588844	1.005177689
176444193_S1	Female	45	1.999652113	0.003478866
176444194_S1	Male	47	1.003491968	1.009079118
176444197_S1	Female	50	2.000226142	0.003618272
176444198_S1	Male	37	1.004524193	1.000230044
176444200_S1	Female	54	1.995922309	0.00364846
176444201_S1	Female	54	1.997014183	0.005473999
176444202_S1	Female	59	1.981447465	0.0047759
176444203_S1	Male	22	1.009511315	1.010987209
176444205_S1	Male	29	1.011598817	1.015010234
176444207_S1	Male	29	1.001944264	1.006048823
176444208_S1	Male	29	1.004492166	1.006245207
176444209_S1	Female	23	2.019528707	0.004426507
176444210_S1	Male	57	0.999157855	0.982502105
176444211_S1	Female	53	1.982878545	0.020973783
176444212_S1	Female	45	2.006850026	0.004774261
176444213_S1	Female	56	2.011007621	0.00508044
176444214_S1	Female	63	1.992390834	0.004496325
176444215_S1	Female	57	1.986117538	0.005090236
176444216_S1	Male	56	1.008135593	1.004745763
176444217_S1	Female	56	1.995884774	0.005029721
176444219_S1	Female	21	2.005339436	0.004576659
176444221_S1	Female	66	1.984797756	0.003257624
176444222_S1	Male	58	1.007177033	1.000239234
176444223_S1	Male	49	1.001526385	1.003924989
176444224_S1	Female	38	2.003182686	0.004243582
176444225_S1	Female	48	2.024787133	0.004162725
176444227_S1	Female	27	2.004774355	0.003864954
176444228_S1	Female	31	2.006170554	0.005430088
176444289_S1	Female	59	2.004840764	0.005095541
176444363_S1	Female	33	2.008204031	0.003745318
176444399_S1	Male	20	1.009026211	1.006248915
176444411_S1	Female	31	2.014676317	0.004423
176444447_S1	Female	27	2.015891648	0.00469526
176444459_S1	Male	19	1.001461683	1.002505742
176444495_S1	Male	18	1.015649582	1.014655958
176444507_S1	Female	27	2.012294624	0.004470772
176444543_S1	Female	23	2.007194245	0.003288798
176444843_S1	Female	49	2.004846226	0.004846226
176444879_S1	Female	52	1.974353671	0.004550155
176444891_S1	Male	18	1.007390924	1.007549869
176444927_S1	Male	22	1.00635501	1.008792548
176444939_S1	Male	20	1.003634098	1.012148271
176445023_S1	Male	34	1.007459412	1.001491882
176445035_S1	Male	21	0.999461729	1.00204543
176445071_S1	Male	21	1.001319261	0.997361478
176445119_S1	Male	21	0.998047783	1.001580366
176445419_S1	Female	60	2.006335949	0.00374397
176445479_S1	Female	53	2.003996803	0.003996803
176445491_S1	Female	59	2.003109729	0.00444247
176445803_S1	Male	55	1.004537994	0.994110264
176445827_S1	Male	31	1.010839329	1.00911271
176445863_S1	Male	34	1.018254112	1.007590819
176445875_S1	Male	19	1.015767924	1.010192525
176446091_S1	Male	24	1.010833639	1.00550863
176446127_S1	Female	42	2.021979939	0.004535543
176446139_S1	Female	43	2.003999579	0.003368067
176446175_S1	Female	49	1.988112638	0.003897496
176446379_S1	Female	19	2.019762846	0.003387916
176446403_S1	Female	28	2.00886836	0.00443418
176446415_S1	Female	37	2.013823705	0.003583924
176446439_S1	Female	21	2.031995757	0.003888987
176446463_S1	Male	37	0.999391251	1.003043743
176446475_S1	Male	18	1.012224939	1.009673647
176446511_S1	Female	52	2.004279982	0.003566652
176446523_S1	Female	19	2.027714729	0.005256242
176446535_S1	Female	44	2.008783042	0.00506714
176446547_S1	Female	57	1.994821905	0.003452063
176446559_S1	Male	19	1.007498987	1.005269558
176447051_S1	Female	18	2.011084294	0.003575579
176447099_S1	Male	33	1.00392069	1.006833203
176447243_S1	Male	55	1.00755814	0.98255814
176447279_S1	Female	33	1.998852685	0.004589261
176447291_S1	Female	32	2.010616987	0.004407051
176447327_S1	Male	55	1.010104329	1.000739341
176447435_S1	Female	19	2.018651517	0.005574017
176447471_S1	Female	19	2.015117744	0.003876345
176447483_S1	Female	22	2.01237911	0.003868472
176447519_S1	Female	59	1.997088792	0.004109941
176447531_S1	Male	50	1.00551154	1.00430589
176447567_S1	Male	40	1.008920694	1.007156161
176447579_S1	Female	25	2.010158144	0.004617338
176447615_S1	Female	48	1.987137664	0.003914624
176447627_S1	Male	20	1.020560748	1.025318607
176447663_S1	Female	21	2.004871568	0.003542958
176447675_S1	Female	60	1.97109067	0.004129904
176447711_S1	Male	30	1.002100648	1.007215271
176447723_S1	Female	20	1.993777329	0.004372688
176447759_S1	Male	51	1.01051219	0.985014538
176447771_S1	Female	50	2.011268029	0.003004808
176447808_S1	Female	25	2.017232938	0.003916577
176447809_S1	Female	21	2.013601587	0.00311703
176447810_S1	Female	67	1.999407173	0.004347397
176447811_S1	Male	38	1.006769118	1.011708745
176447812_S1	Male	29	1.003948234	0.998245229
176447813_S1	Male	19	1.012249443	1.021476297
176447814_S1	Female	52	1.994111152	0.004048583
176447815_S1	Female	50	2.006833303	0.003596475
176447816_S1	Female	24	2.022136237	0.003959327
176447817_S1	Female	54	2.002193201	0.004585784
176447819_S1	Male	33	1.012542971	1.013100437
176447820_S1	Female	24	2.006538538	0.003566475
176447822_S1	Male	56	1.011091099	1.002938667
176447823_S1	Female	35	2.000510899	0.003746594
176447824_S1	Female	50	1.986029146	0.005299289
176447825_S1	Female	49	1.010321439	1.007765654
176447826_S1	Male	34	1.015431273	1.020247971
176447827_S1	Male	18	1.005293406	1.005142166
176447828_S1	Female	29	2.011104127	0.004190237
176447829_S1	Male	35	1.007428141	1.00484444
176447830_S1	Female	19	2.030647648	0.004240555
176447831_S1	Male	38	1.006831934	1.002927972
176447832_S1	Male	33	1.017883369	1.014082073
176447833_S1	Male	26	1.015465316	1.013113865
176447835_S1	Female	28	2.018105959	0.003778635
176447837_S1	Male	22	1.021508516	1.017615572
176447838_S1	Female	23	2.017268446	0.00418629
176447840_S1	Male	57	1.01576558	0.995130004
176447841_S1	Female	35	2.01268633	0.003171583
176447842_S1	Female	34	2.006494234	0.005374538
176447843_S1	Female	30	1.999398557	0.004009623
176447844_S1	Male	58	1.00321293	1.009444066
176447846_S1	Female	22	2.035711113	0.003553345
176447849_S1	Female	39	1.995045673	0.003715745
176447850_S1	Female	60	2.007518169	0.003007268
176447851_S1	Female	49	2.008337966	0.003705762
176447852_S1	Female	27	1.997231962	0.003690718
176447855_S1	Female	48	1.994892916	0.00461285
176447867_S1	Female	42	1.991114872	0.005500317
176447903_S1	Female	24	2.003615329	0.003470716
176448203_S1	Male	57	1.012576535	0.998014231
176448251_S1	Male	19	1.007371434	1.006157315
176448287_S1	Male	23	1.002121641	1.012022631
176448491_S1	Female	38	2.035313292	0.003621876
176500139_S1	Female	47	2.001011122	0.004044489
176500175_S1	Male	21	1.010469436	1.020375999
176500187_S1	Male	61	0.999556226	0.991035768
176500235_S1	Male	58	1.005675369	0.996070898
176500271_S1	Female	39	2.013360372	0.004771561
176500319_S1	Female	38	1.978615909	0.00375984
176500331_S1	Female	26	1.999017971	0.003928115
176500379_S1	Female	20	2.018365473	0.004591368
176500415_S1	Male	18	1.014972419	1.014296972
176500416_S1	Female	20	2.010581062	0.004124821
176500417_S1	Female	20	2.017864003	0.003457549
176500418_S1	Male	31	1.005882353	1.005882353
176500419_S1	Female	52	2.000347464	0.004864489
176500420_S1	Female	38	2.004562738	0.005214557
176500421_S1	Male	19	1.003067485	1.007939372
176500422_S1	Male	60	1.002108336	0.998053844
176500423_S1	Male	26	1.001193646	1.007070058
176500424_S1	Female	51	2.010385614	0.004615828
176500425_S1	Male	27	1.001700267	1.009472917
176500426_S1	Female	61	2.011980831	0.003594249
176500427_S1	Female	34	2.004802151	0.003457549
176500429_S1	Female	52	2.005826271	0.003884181
